Front,Back
"poobijany ciało<div><img src=""image-4855897779f38edaafcc9f40decb0ebe26e43d35.jpg""><br></div>",battered body [sound:sapi5js-83b4a094-4ee4bb8e-92d8faa4-58fb601d-78c85d6e.mp3]
głębokie zażalenia,deep grievance [sound:sapi5js-9422d173-ba191708-cc3169a2-7a28c070-c292d9f0.mp3]
"pomijane<div><img src=""image-35e33776113932dd886928f1b50763950098a200.jpg""><br></div><div>Forgotten&nbsp;</div>",overlooked [sound:sapi5js-13c11b85-693f8e5b-86e3135c-4a89e402-e50617c6.mp3]
"skąpo ubrane kobiety<div><img src=""image-8103fc3f848adb7f29eba607c3bb768ee965f712.jpg""><br></div><div><img src=""image-cc7116a60d6ae199d4178cafd77172a71ec416c1.jpg""><br></div>",scantily clad women [sound:sapi5js-77022a0f-286d6a94-d2a7ea00-d3050a5b-21c7fba1.mp3]
"pogodzić<div>the king and the archbishop were publicly reconciled<br></div><div><img src=""image-6014bb38a5ecc134bba54ed75aeebd418cb935cc.jpg""><br></div><div><img src=""image-1b32153f938d36c78dd62779aa676164deabdd17.jpg""><br></div>",reconciled [sound:sapi5js-1aad7c0a-25372593-1fd8a5c5-264df4a5-10faa94e.mp3]
rozdzierający pozycji,excruciating position [sound:sapi5js-b1b7fe03-85c7d604-c1ec9c3d-28a5b8e0-11dea326.mp3]
jelita,intestines [sound:sapi5js-2f4d43c5-6cb797ad-1d5f3a2f-9ce749d9-5b651f55.mp3]
wiążący,binding [sound:sapi5js-aa96de93-4065bf8a-66821559-57a8b6a7-868a5bb8.mp3]
pętla,a noose [sound:sapi5js-7c031de7-e4dc744d-c5d22f14-a3951541-0a129359.mp3]
podszedł bliżej,he drew closer [sound:sapi5js-db48cbf0-93691078-72077831-3b122b04-aa8ed9c6.mp3]
okoń,perch [sound:sapi5js-2dca7e2a-8a6ab085-b40486a7-a9383579-9611e8b2.mp3]
"wlot<div>Cos z plaza i rzeka</div><div><img src=""image-eee9a31ca0a8bfce8c4ce72e0a214496649e3498.png""><br></div>",inlet [sound:sapi5js-b9779034-2d28f12e-7ac27962-e5a4348f-95689d3e.mp3]
rzucił się,dar­ted off [sound:sapi5js-8fe95100-5566fe2a-c784434e-f7f8bd22-d9953c29.mp3]
zaatakował ją,assaulted her [sound:sapi5js-7caae6ce-a6295986-af7353ce-0f00cda4-4a4af397.mp3]
mówiący,uttering [sound:sapi5js-29a6a56c-9dcae1a6-2867037a-41729d48-87208209.mp3]
"Oczekiwać podekscytowany<div><img src=""image-69bdffefb34fb737d3b8164e60bb42559e7955c9.jpg""><br></div>",look forward to [sound:sapi5js-390b2dab-0bece639-840ff7f1-f00a35d6-bb321dc2.mp3]
pozornie<div>Ponoc</div>,seemingly [sound:sapi5js-d6245c7a-661ecddb-8de5ec2f-f57ce685-cf044757.mp3]
pochlebia,flattered [sound:sapi5js-7403abd6-eef4185a-826a4633-33229d51-ac940400.mp3]
czarujący,glamorous [sound:sapi5js-aefbf703-ba8923cd-eee98621-258e371a-61ffada1.mp3]
dziedziczny,hereditary [sound:sapi5js-4efebb5d-29b27120-982534e2-3787e01a-6f6dedf0.mp3]
nasilenie różni,severity varies [sound:sapi5js-930f7963-3586c5d4-43e4f404-16678349-7650963a.mp3]
czerwone plamy,red patches [sound:sapi5js-302d87dd-b65d2e05-b6daf363-2d4666ed-8de9a79f.mp3]
"łuszczyca<div><img src=""paste-650a9bbf31c600606cc5e858595bcb757bd47a7c.jpg""><br></div>",psoriasis [sound:sapi5js-39cc09c2-5c4fd744-1e835233-65bab941-90856f50.mp3]
"bez skazy<div><img src=""image-164a94c289c74a0bb96ec8b5660cfcf656f4866c.jpg""><br></div>",flawless [sound:sapi5js-c66135fd-cd6adc3e-81e8672f-e9ed77ec-c23c703f.mp3]
"uduszenie,","strangulation, [sound:sapi5js-45a6524a-4b9da488-85f0ea19-68317771-8b04c2a9.mp3]"
"chłostać<div><img src=""image-d8cf240422d6b24ae4f35a75bfdcd8da5bdec244.jpg""><br></div>",castigate [sound:sapi5js-2e5d280d-673e4f0f-4dc33e52-3b23d8e2-75945f26.mp3]
nauka o ekskrementach,scatology [sound:sapi5js-1bb01aaf-44c8bd6d-df474b0b-5a3b3046-bed8b704.mp3]
szkodliwe,damaging [sound:sapi5js-9dc77c5a-01464cca-b69054ed-0b2741e5-fe1be484.mp3]
głód,famine [sound:sapi5js-79564706-a5b23489-9c242c6a-30a42867-5abeeace.mp3]
Wyrównany,aligned [sound:sapi5js-14503444-13720bef-3e9fad0e-fe73b17a-1b34ae12.mp3]
wiaderka,pails [sound:sapi5js-6793a7a2-a237aeda-bc056c49-c6a5a16e-02958f2c.mp3]
wypluć,spit it out [sound:sapi5js-6f7b2e1d-7a9bde59-4ccd08e0-8282e86f-c3af8b90.mp3]
odstających<div><br></div><div>&nbsp; &nbsp;is <b>a person or thing differing from all other members of a particular group or set</b>.&nbsp;</div><div><br></div><div>Musk Bill Gates&nbsp;<br></div>,outliers [sound:sapi5js-f7cc1ff0-ec41e278-e2725fc9-7bd24c49-a695c991.mp3]
wieczny,everlasting [sound:sapi5js-98a04c81-28c25f60-95d0b20c-effb2831-2d12adf1.mp3]
przeważać kogoś coś,outweigh [sound:sapi5js-6975cdcf-b75b4aa9-da1562b0-b3a7ce2d-2b4e4ed6.mp3]
minusem,downside [sound:sapi5js-cc1a0aa4-de4250ea-874608c2-6805e8cd-46fdcf12.mp3]
ukochany,beloved [sound:sapi5js-eeea6ddd-8b151e95-e78ac46f-6be39d22-1af6d919.mp3]
Przebicie beat<br><div>Trump</div><div>atut</div><div>kapitalny facet</div>,trumped [sound:sapi5js-6426c89e-fbc3ec0d-173bc27d-15674c48-27349aa4.mp3]
rozsądny,judicious [sound:sapi5js-67fa9dc9-3cfffc51-606a6885-45d76741-9bdf1c33.mp3]
zmęczenie,fatigue [sound:sapi5js-05d45b5f-f4ef1d64-82a98a27-0b962894-9ac8015a.mp3]
krótkowzroczny,myopic [sound:sapi5js-2833fc6b-5eedb26b-b9bd9885-02eebe42-2fc382cb.mp3]
"oszczerstwo<div><img src=""paste-e17cec24244f8e2d043fa39480d7e47bb06976a7.jpg""><br></div>",libel [sound:sapi5js-243281ce-a76f55b6-5a553d1c-fc76dabb-389d6f54.mp3]
poprosił o zwolnienie,he asked to be excused [sound:sapi5js-8f187441-13be9220-995e7346-9007ade6-cf8c3161.mp3]
świadectwo,the testimony [sound:sapi5js-153e1c81-83643f94-32c2ba10-dff3ace6-aea53a4b.mp3]
jelito cienkie,small intestine [sound:sapi5js-44bfbb50-15095f23-c1b4ad0a-b6c92ab5-fa099fdc.mp3]
zmagają się z,grappling with [sound:sapi5js-3ad19a8c-94bfe6fb-4124e78b-57aff702-27df4a04.mp3]
szybko ocenić,rapidly assessed [sound:sapi5js-aeda8fc0-7301d7fc-31a9ccde-c337b0a9-5b28be3b.mp3]
za to ponoszą,for this lies [sound:sapi5js-99eb4263-ed13c3c0-42534c35-f493014b-5c078dd3.mp3]
sprzeczka,altercation [sound:sapi5js-888f7f21-e3a3893b-63b99ac6-70911b58-2adb2b73.mp3]
bezkarna,unsanctioned [sound:sapi5js-f51446d6-962e0a70-2c4a9c81-535843f5-d6e6ce9d.mp3]
awanturnik,brawler [sound:sapi5js-0d9aa137-1eb69b56-edd4e1ac-d21e924e-436c15c7.mp3]
boisko,the pitch [sound:sapi5js-42564955-33d0924a-2770926d-8e7ee23c-72f8efb3.mp3]
okopy,trench warfare [sound:sapi5js-4db5ddbf-d02a7c3f-3eb5ab24-e60ec0e9-626e3629.mp3]
wgląd,insight [sound:sapi5js-44c8901c-b6980652-4b2739df-7108b7e5-b145900f.mp3]
umieszczony,placed [sound:sapi5js-ebc71f29-0725493c-0ad0aad0-b97838d5-a08b35cf.mp3]
"w nalewki<div><img src=""paste-1d85c950ac96122d985a5e92ffadd0eceab35c3a.jpg""><br></div>","in cordials [sound:sapi5js-5038610e-e3391be7-227de00a-a6492150-69c060b0.mp3]<div><font color=""#30d158"">Test</font></div>"
"podróbkami<div>Np food to do food</div><div><img src=""image-e5ca5896185097887bb650bffd8093ce1d638d9f.jpg""><br></div><div><img src=""image-62a5fbc739d6a44b0b199d6639f95683174517c4.jpg""><br></div><div><img src=""image-06dbc4dd1283be4c051291dccdb52b2eb76d3c2f.png""><br></div><div><br></div>",adulterants [sound:sapi5js-8cfd0fa1-2ca64aa2-9338f9cd-32a3f1e3-12e29682.mp3]
dziedziczne,heritable [sound:sapi5js-4028f0f4-e5a0fe7a-6265f0fe-8944b04f-f86806ef.mp3]
sztuczny,artificial [sound:sapi5js-727b83d5-ad84944d-4594235f-73591207-d3be46b2.mp3]
tratwa,raft [sound:sapi5js-47c961c1-96f62deb-41d9f01b-60be29c0-7355873b.mp3]
chrząszcz,beetle [sound:sapi5js-2bbfd9f4-482923ca-414f0eba-f8c43efc-02add184.mp3]
Latawiec,a kite [sound:sapi5js-74e86b1b-97f2672d-c368efee-27a5580f-26f32bc4.mp3]
targać,lug [sound:sapi5js-90dbe750-1fc6c4fe-7f72e84a-fcbafe4d-391647d9.mp3]
niezbędny,indispensable [sound:sapi5js-e8a167fc-c697b094-edbc7a21-37451e52-fa3505ef.mp3]
bić brawo,applaud [sound:sapi5js-75531191-0197efc7-0fb9bb75-f31ba4c1-7224c18e.mp3]
Pusty,Vacant [sound:sapi5js-4401504d-281eeaf0-6286a4c1-86969b54-078d3c39.mp3]
grobla,causeway [sound:sapi5js-248970bc-a0a47577-1c336c40-580e013e-32274035.mp3]
"widoki<div><img src=""image-8498462dc48cfbff8d1f94f04b94d9e78a448db0.jpg""><br></div>",vistas [sound:sapi5js-9daf20c5-8bce31a7-b10e9396-95e08a70-dd8f97c1.mp3]
lekką przewagę,Slight Edge [sound:sapi5js-8ad31c35-457f5fa9-4f17f9d2-77c81ad7-cbe31c8f.mp3]
najnowocześniejsze,cutting-edge [sound:sapi5js-8c94200d-76df02d1-a1257a85-621c8e4a-07226283.mp3]
ustawowy,statutory [sound:sapi5js-7341b05b-38124253-3484dbe5-d652b867-fc870f4c.mp3]
Kawaler,bachelor [sound:sapi5js-837fc9bc-772cde1a-e6a38464-bec45d99-e6b1b5f9.mp3]
dzierżawa,tenancy [sound:sapi5js-f8474db6-6eb12cac-a52c6c8d-a03d6599-61d85c35.mp3]
przytłaczający,overwhelming [sound:sapi5js-fd45e2ea-dc4269a0-f4a0258e-f2ae2224-84d345e7.mp3]
"toczonej np wojnie<div><br></div><div>I &nbsp;placa<br><div><img src=""image-7d3bd89f49f10a226e05579b0fd6ef08b079c046.jpg""><br></div></div>",waged [sound:sapi5js-cb6bd062-750286ae-29f502d9-ddfd61f3-740a6c13.mp3]
dzikusy,savages [sound:sapi5js-61ac4778-4c8921f7-598d60c6-446f30a7-b69db7a9.mp3]
władać,wield [sound:sapi5js-34e42584-fda3db75-5a9fab16-9b6ae136-8f22cac9.mp3]
zakład,wager [sound:sapi5js-ed90d107-84dc680c-78d91d35-23d6af55-aef4545e.mp3]
główny,principal [sound:sapi5js-c90c9d33-81726c71-2b632b12-ef315892-8a9e04b0.mp3]
w oblężeniu,in the siege [sound:sapi5js-c77ebce3-ff8ca6f5-d271cd50-90cfd777-d8cfe425.mp3]
pochodne,derivatives [sound:sapi5js-bd6a4ff8-0bd73ef7-c0dd9d44-5948d986-b7f066b3.mp3]
bójka,scuffle [sound:sapi5js-3d94f8b6-2f1eed3d-ad2dae74-ebf2f3c4-c849801d.mp3]
"rzuca<div>Hm odnosnie zwiazku, sjeks bez zaangazowania</div><div><img src=""image-292f96987584818f2f8426d2164446647fb918c1.jpg""><br></div><div><img src=""image-962f95d88e6c8af349d394926b6282ab48333106.jpg""><br></div>",flings [sound:sapi5js-f86570eb-4f391fe0-ca2d5d36-15c80d0e-50816160.mp3]
jej szczątki,her remains [sound:sapi5js-34970bd6-c8505f2e-b7c27a35-db41b2f3-369395e0.mp3]
przedwczesna śmierć,untimely death [sound:sapi5js-ab96c926-0cb94a46-35b5fcf7-3e3a433e-a5184cd8.mp3]
skłonić,prompt [sound:sapi5js-cf2c8909-4fa6ae1c-cc593749-bd1b874c-f0f6d023.mp3]
podobieństwo,likeness [sound:sapi5js-9e83e2d5-d169e034-8e9035d0-c79fda30-c6c27bd3.mp3]
"podobieństwo<div><img src=""paste-98cfefca2ff251dddd97365c4e7bfffa843f2ec2.jpg""><br></div>",resemblance [sound:sapi5js-bb8ec184-faa91954-55a39641-4dc9a78a-6b3fb957.mp3]
prawa i użyteczność,laws and utility [sound:sapi5js-d47795fa-77c9c96d-a3658d86-0e5f1792-59d03f96.mp3]
"czopki<div><img src=""image-9e0185fb44b65b506c30333a465361d97aca4452.jpg""><br></div>",suppositories [sound:sapi5js-23934361-fb5fc81f-22533517-78a43907-26fb2ae4.mp3]
"czarownik<div><img src=""image-c7d2850aca3c8bf21571c360974fd1f96dadb188.jpg""><br></div>",sorcerer [sound:sapi5js-da3345b4-e821d483-bae56731-aa761977-fad25f7a.mp3]
"zastaw<div>Commit to do it</div><div><img src=""image-6aa0b40dc1d1c2635f0fa95d938812292870c3d5.jpg""><br></div>",pledged [sound:sapi5js-299846bc-5a94f44c-be11bb06-ebd2f59d-88f234fe.mp3]
len,flax [sound:sapi5js-b76c440e-649a5628-c0a805bf-ae019be3-2273c1a0.mp3]
deski,planks [sound:sapi5js-109d6635-52fb4b2a-69dd65ed-944d12d6-c080c2ec.mp3]
uwieść,seduce [sound:sapi5js-b39c5325-52344cdc-1b7cb71c-46d984fe-8eef6d55.mp3]
"włóczyć sięgonic za kobitkami<div><img src=""image-379e921f0450526f93fb66bbd900450d5998ac7c.jpg""><br></div>",gAllivant [sound:sapi5js-cd7bcdf8-f5ea80bf-8c371181-d001a975-f03345b9.mp3]
włóczyć się,gAllivant [sound:sapi5js-cd7bcdf8-f5ea80bf-8c371181-d001a975-f03345b9.mp3]
wielki,grand [sound:sapi5js-77f718e1-737dc7a5-c674a346-871feaea-9ac9bb59.mp3]
brodawki,warts [sound:sapi5js-68ad5526-66203a3d-e0064334-41042bb9-0cf41485.mp3]
Wniebowstąpienie,ascension [sound:sapi5js-77f605db-6e556278-bce7263b-e6aa18d8-594dec72.mp3]
legalny,lawful [sound:sapi5js-c614e82b-bedc6346-a976ab4e-ef941523-72f4ba00.mp3]
kły,tusks [sound:sapi5js-a58ef082-faa03cf0-b77e9051-04a53cf8-0b6d177a.mp3]
"dzik<div><img src=""image-52d504cfde2ea9d44ead62c193b97a22da563834.jpg""><br></div>",boar [sound:sapi5js-e8cfbd76-c5619fe2-274b0de6-a6f3a993-7b79fbfe.mp3]
uciekł,fled [sound:sapi5js-43347e14-1446c991-9ca803d5-33ed20e8-74bfdb5f.mp3]
Cofnij,undo [sound:sapi5js-1667f8b9-91278504-aa08d353-a8a1fdc1-69280d96.mp3]
uwolniony,freed [sound:sapi5js-b336a19c-3c99a4de-72255b70-81db2493-67468904.mp3]
"pęcherz<div><img src=""image-633a8e6db6f253e2464b0b3a26a7bdd0dce5e069.jpg""><br></div>",bladder [sound:sapi5js-53165d40-5596940b-99ba5ff1-1d5d36a7-8915fa74.mp3]
odwrotnie,inversely [sound:sapi5js-cd78d54e-6ce7cb69-13017956-5af58648-9e2f33fa.mp3]
"upadek<div><img src=""image-461c43fa6e11c54645ffc8211e671cb277ca7a39.jpg""><br><div><br></div></div>",decline [sound:sapi5js-01ddadbf-ebdf2eb0-2b50962d-8c8a717e-036891cc.mp3]
wszechstronny,comprehensive [sound:sapi5js-0e84fcbd-a3b623ab-13058ee9-373d459d-fb6ea980.mp3]
aktywów państwowych,of state assets [sound:sapi5js-1a653ef7-5cd76530-b63f21d7-8d379db0-5008c879.mp3]
zatkać dziury,to plug holes [sound:sapi5js-1d86596c-ca3d9091-ca660b79-f2d0551e-38af37d7.mp3]
"ogołocenie<div><img src=""image-062943c9f324997043d02937e15200605d359041.jpg""><br></div>",divestment [sound:sapi5js-cc2b6357-9094c9f1-9e72b9cc-919715ea-2a1677b0.mp3]
potępiający,damning [sound:sapi5js-1c455817-b713408f-4c6cfe55-adb19763-930ac7b7.mp3]
Przestrogi,caution [sound:sapi5js-67ed840e-1d8e05f2-9f3f4471-2d94cd77-b9ba1bf7.mp3]
własnych odchodach,own filth [sound:sapi5js-038a7814-d30c26a8-0bdc9021-008b87de-726f2249.mp3]
chłosta,flogging [sound:sapi5js-b5eb4027-bcab4034-85a3d70c-db9916ca-a5e5eccc.mp3]
dzielący,divisive [sound:sapi5js-ab07def1-d1621289-545d62c8-a8067ff6-ff0dbf79.mp3]
bliskość,closeness [sound:sapi5js-2f047d70-a2cdae65-4d13b417-a537d98c-2732f7ff.mp3]
zrozumieć,comprehend [sound:sapi5js-95b11512-96bc0cc7-318ff870-a62e26a1-f2973bd2.mp3]
układu sercowo-naczyniowego,cardiovascular [sound:sapi5js-82faead0-262b24fa-03f1545e-0d7bd643-a61002b8.mp3]
zmniejszać prędkość,decelerate [sound:sapi5js-52551dfd-4a548647-9e8876f6-51d2f305-f7cafe8d.mp3]
z powodu utraty siedlisk,because of habitat loss [sound:sapi5js-7b58b04f-adaa9f75-358fab07-bef3b19e-c55ebfbd.mp3]
wędrował<div>Buffalo roamed</div><div>But lion roar</div>,roamed [sound:sapi5js-84802aa7-c2ece857-bb3eeaba-c86a5723-91024146.mp3]
przełyk //isofiges,esophagus [sound:sapi5js-35d6f82d-1f674ee2-3ae94147-9c5d1fbd-933a4b10.mp3]
przełyk,esophagus [sound:sapi5js-35d6f82d-1f674ee2-3ae94147-9c5d1fbd-933a4b10.mp3]
wysuszyć,dry by [sound:sapi5js-8ba891ea-89e5e41f-a7fe0f58-86653e5d-cb5b73b4.mp3]
stolec,stool [sound:sapi5js-a8a6aae0-6f5bdc4a-72703178-5b24747a-d54761d1.mp3]
"delikatność uczuć<div>Emotion feeling&nbsp;</div><div><img src=""paste-f30052b934efa3b35f23c5715e405817366487cc.jpg""><br></div>",sensibilities [sound:sapi5js-e18af20c-875a3f0c-ef5634e8-9d54472d-78289262.mp3]
"Stopped blocked<br><div><img src=""image-24b41e8b7796b43105dd1e4b06c083666ab2d6c3.jpg""></div><div><img src=""image-90b9a082299d3ffa5575a498a1aa492815ce3ae6.jpg""><br></div><div><span style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0);""><br></span><div>Ale stall ro stoisko</div><div><img src=""image-64eb02c00b96a8d00c139b1706128449b8a62561.jpg""><br></div><div><br></div></div>",stalled [sound:sapi5js-721c3a3c-f72d05fd-5c193b2e-a4a1c8ba-f847a24a.mp3]
kutas,pecker [sound:sapi5js-eebce85a-f76d75ac-b90a329a-821a9dc5-d72e88ad.mp3]
majątek,assets [sound:sapi5js-d0799897-0f2a6733-80ee22ba-d869747d-e0b4d056.mp3]
smalec,lard [sound:sapi5js-82048337-deb16e7c-b09cb70e-3a8f9d5e-be4f1e89.mp3]
ładnie,nicely [sound:sapi5js-fed551be-7d6d8307-bea9ad99-8f5c16d5-d86bd33f.mp3]
"zjechać na pobocze<div><img src=""image-812cb01a6e68a5abc481fba83fcd690b2c285b54.jpg""><br></div><div><img src=""image-7015dc373d4b0d583f357b4bc95ef5a0dce754b3.jpg""><br></div>",pull over [sound:sapi5js-b808ad3d-a86bdd60-991a93de-01a1015f-ecefc421.mp3]
"starczy<div><img src=""image-06dedafa65de5554249544b52d861abbf649b214.jpg""><br></div>",senile [sound:sapi5js-1d061ea3-ea99875f-64dbc8e4-f4b5ff7d-96743263.mp3]
słoma,straw [sound:sapi5js-4224e372-c8d930c9-0be6bfa6-49676b09-96e6e6ff.mp3]
przed świtem,before dawn [sound:sapi5js-f5c30502-bc3cab28-3c0d63f2-0a0aaeed-9a2a84f7.mp3]
skąpy,miserly [sound:sapi5js-c2db80cd-d1268aef-cb76bb22-717e9d39-1d1fb0ec.mp3]
"błagać<div><img src=""image-d1813a258fb1834afda781d6d89db76a6c2626f7.jpg""><br></div>",plead [sound:sapi5js-2ea1040d-8d9f92f6-421bd272-007bf3e0-21a62a54.mp3]
"postawić, złożyć sie",chip in [sound:sapi5js-fc16212c-4baf335c-a916f1ab-092f9721-9c5ce1a5.mp3]
"Zrzutka na cos<br><div><img src=""image-e3de9ec2636a5dd2d51344d9c2172c124ec24958.jpg""><br></div>",chip in [sound:sapi5js-fc16212c-4baf335c-a916f1ab-092f9721-9c5ce1a5.mp3]
zamiar,intent [sound:sapi5js-9c7f256e-cc324336-da8cdf1a-4da78c1c-5c1678fd.mp3]
wiadro,pail [sound:sapi5js-9057b57d-f78138d6-d613ac24-628ca3ac-2b49b9c7.mp3]
skrawki,scraps [sound:sapi5js-58944abd-ed73488a-6acc3ea3-17c19deb-737ed734.mp3]
Rzepa,turnip [sound:sapi5js-eac5cbd6-f354ed57-15ce377f-31ff7e80-b1312857.mp3]
"huśtawka , rozmach",swing [sound:sapi5js-b00dca3c-b6c95a73-bb1110ee-751e13ef-deb17552.mp3]
świątynia,shrine [sound:sapi5js-9b747c05-d3319bb8-1d696fdb-3e0ec966-d93858ed.mp3]
wrogość,hostility [sound:sapi5js-96e0971c-18b055cd-e81b92ab-7f9da709-6f63c8da.mp3]
"czułem zdrętwiałe<div><img src=""paste-0787b54b6a7265a5db799fc1d2066c2c4a4b6d66.jpg""><br></div>",felt numb [sound:sapi5js-6f51f74f-dfea429e-6ee07611-585ca79b-f1956ec2.mp3]
dzban,pitcher [sound:sapi5js-64723a0e-54f7bd9a-2414f70e-0a555d1e-0244c223.mp3]
"legowisko<div><img src=""paste-fdad24684a71c58be10ebc51fcdedc04d516c08c.jpg""><br></div>",den [sound:sapi5js-26260ad7-acad3f0f-197990e2-6fab5724-70e4a9fd.mp3]
"szorowanie<div><img src=""image-23d8224ead3c55d6c08f81594e0be04d105f7fb2.jpg""><br></div>",scrubbing [sound:sapi5js-0d2f1eb7-7be2736a-58a673c1-3cf53b71-2513bd7c.mp3]
dusić,suffocate [sound:sapi5js-b632310c-6af6ef2f-91195916-de867c19-23d46e69.mp3]
wyczerpany,worn-out [sound:sapi5js-4fe3b573-8538732e-798f82d1-358c9815-6d6ae67f.mp3]
przekażę,give over [sound:sapi5js-03c8d129-919932a3-dbe1e30a-0e38f38d-774a87ee.mp3]
"widok w przekroju<div><img src=""image-6ceb4ee57464cd9d47586a5ae74475449f68d4f1.jpg""><br></div>",cutaway view [sound:sapi5js-48c54028-9321db30-91045c0c-86552d50-067ffe66.mp3]
wózek dziecięcy,stroller [sound:sapi5js-e8b1d7bc-6964d575-c8d7c289-763ff315-08af669f.mp3]
opuszczone,vacated [sound:sapi5js-865066d6-9838b8f6-87a3f3d7-0c11229c-430d3338.mp3]
lokal,premises [sound:sapi5js-b154c367-035eb975-0facad44-9559efa7-63db321e.mp3]
kamienie żółciowe,gallstones [sound:sapi5js-da8b65f5-9b4a7ba4-780a60f8-dfa03a53-e79ce265.mp3]
zrobić obławę,round up [sound:sapi5js-673dd382-ef1d576d-0675c376-bee33752-4bc67448.mp3]
kurcze nóg,leg cramp [sound:sapi5js-382f241c-0ecd4cb4-0b7e1b9f-285324fa-6410499b.mp3]
pętla,noose [sound:sapi5js-aab8e1b6-a75e6a79-4ea1df2c-34734b01-5460ac48.mp3]
"sztyczny material , wytrzymaly<div>upholstery</div><div><br><div><img src=""image-4b1e37ac1a2582a2584667fd1a10d3d6edac9d1f.jpg""><div><br></div></div></div>",naugahyde [sound:sapi5js-0084c3db-6fc6f696-f76cc6b6-273c7490-8f0891c9.mp3]
"brudny nędzny<div><img src=""image-02d185559aea854963e17b2d95571e22b0ff5020.jpg""><img src=""image-f7c2cff8f128aabc7c5e2edb38df766e955304e0.jpg""><img src=""image-c91cde64ac021532812fcf289a12e20a6c875bf0.jpg""><br></div>",shabby [sound:sapi5js-1b24bb99-de9ec0ff-18bf1703-b6b2c83b-391e641f.mp3]
"godzina policyjna<div><img src=""image-7aab2369c0191a72d860ac56fbfc72b0e5738a8c.jpg""><br></div>",curfew [sound:sapi5js-e92601f3-0c5203df-51790f00-a509deab-91331dc0.mp3]
odzyskać siły,recuperate [sound:sapi5js-1fd73cda-6d80699c-b966a7be-afe09543-b9aba299.mp3]
ostatecznie,eventually [sound:sapi5js-602d2914-3e717b2b-a7ff1995-ade8ec7a-964f4c22.mp3]
po zwolnieniu,upon release [sound:sapi5js-eeaeb4b6-d2ceddb9-8fbf7db4-a749a1b5-22205847.mp3]
w porównaniu,by comparison [sound:sapi5js-02d1014e-6e5604e4-1121f3e0-b4eb60c0-583fbbae.mp3]
"wszy<div><img src=""image-0e00911efb578a7e55b2f722f30efc5793a48dbf.jpg""><br></div>",lice [sound:sapi5js-7c582c0f-939ca8ae-92d112df-4ada7be2-988e62c1.mp3]
"ropa<div><img src=""image-484cde6f8e5926b8f30329efcfbc77116e7356d2.jpg""><br></div><div><img src=""image-4c0e317f7ad2971dfc62bde925141187a1f335a4.jpg""><br></div>",pus [sound:sapi5js-a4cfdafb-810fb60d-cd815616-aab9effc-af6bedcd.mp3]
skórka na chlebie,crust [sound:sapi5js-440bdf40-f0f447f1-39eeb8e3-6b463869-0a8f341b.mp3]
"nieskazitelnie ideal<div><img src=""image-8523c9bc5d0b0efdcae2a6df9047bb2358ab97f7.jpg""><br></div><div><img src=""image-a17baa1f601bb829aa772b366d6e6582bc10f4d5.jpg""><br></div><div><img src=""image-ebac2dd7cdc2e7bd8eef346034d8edf330bebe04.jpg""><br></div>",spotlessly [sound:sapi5js-be629f55-1c76ba07-08ee1d2d-4b594eb1-e9189af3.mp3]
śledź inherit dziedziczyc,herring [sound:sapi5js-b6bf01e7-9b43d05a-bc733e2b-dbf20e83-a998b31d.mp3]
rowy,trenches [sound:sapi5js-c52234c2-65f1e165-b3db97d5-3bdc5c09-26f95db1.mp3]
resztki,leftover [sound:sapi5js-9a07a479-b77cbcac-078f823e-b5c09321-5b418012.mp3]
ból,sore [sound:sapi5js-e9bec58f-5f7fcd11-5e7ac8a4-29100855-edb1f8b6.mp3]
krwotok,hemorrhaging [sound:sapi5js-8c035471-15550b2b-db964da5-7330d34b-f41ba2ae.mp3]
zaćma,cataract [sound:sapi5js-443d61ae-75c5a823-832761ef-e29fdc00-2864a718.mp3]
jaskra,glaucoma [sound:sapi5js-e6fb1c9a-035f4160-2046b630-84d36b61-60ebe767.mp3]
Przygotuj się,brace yourself [sound:sapi5js-abbe3b95-18e7dc85-dc13b6ec-1720ba69-1e62828d.mp3]
jechał,rode [sound:sapi5js-3684e538-4a4851fe-05f3972b-fe3df95b-9562757b.mp3]
wyjść,come out [sound:sapi5js-b33a9644-50fa1a75-86cf3869-14cb9aab-8fc9b7e0.mp3]
cukrzyca,diabetes [sound:sapi5js-4b5b8271-ed7cc948-2365d9e8-d26dd49e-66389e14.mp3]
aptekarz,druggist [sound:sapi5js-045a4cbe-88771830-0a4a478d-60a28b8d-3e82950a.mp3]
wyroby pończosznicze,hosiery [sound:sapi5js-c16c303f-09ee0312-f8176267-9ff923f1-18672817.mp3]
"posag<div><img src=""image-045ef5d715522d0a6bcfdb6ed8b354dab5b40cf5.jpg""><br></div>",dowry [sound:sapi5js-902253f7-270ba334-af07f912-ba207217-33e063d4.mp3]
pedałować,pedal [sound:sapi5js-a36ac631-ffef36c4-9162fc03-1553a75f-1a5ff68f.mp3]
dawać sobie radę,get along [sound:sapi5js-1962906e-2b37843d-f7489de6-85836958-6672c121.mp3]
swoje żniwo,their toll [sound:sapi5js-c9395607-914ff579-c4e4db9a-2acc6d6f-5e06f1d2.mp3]
wyspiarski,insular [sound:sapi5js-a1953b5c-5e898922-b71e2997-1423bb0c-2c0f3646.mp3]
Zaczekaj,wait up [sound:sapi5js-f3299a80-a6f3e45c-b46a0f39-cef299d0-ee64ecd6.mp3]
